person,round,capncrunch,score,guess/comment
Rachel,1,Captain Crunch,5.0,big
Rachel,2,Generic,3.0,small
Rachel,3,Generic,5.0,big
Rachel,4,Captain Crunch,3.0,small. not berry-y
Matt D.,1,,,
Matt D.,2,,,
Matt D.,3,,,
Matt D.,4,,,
Jo,1,Generic,5.0,
Jo,2,Captain Crunch,3.0,
Jo,3,Generic,3.0,
Jo,4,Captain Crunch,4.0,
Roberto,1,,,
Roberto,2,,,
Roberto,3,,,
Roberto,4,,,
Jenna,1,Generic,5.0,Real
Jenna,2,Generic,5.0,Real
Jenna,3,Captain Crunch,5.0,Generic
Jenna,4,Captain Crunch,5.0,Real
Tyler,1,Generic,5.0,Real
Tyler,2,Captain Crunch,5.0,Real
Tyler,3,Captain Crunch,3.0,Store
Tyler,4,Generic,4.0,Store
Keira,1,Captain Crunch,5.0,crunch
Keira,2,Captain Crunch,5.0,crunch
Keira,3,Generic,4.0,store
Keira,4,Generic,5.0,store
Matt B.,1,,,
Matt B.,2,,,
Matt B.,3,,,
Matt B.,4,,,
