Wine,wine_name,wine_price,Color,Roberto,Matt,Elaine,Jenna,Miranda,Ethan,Jon,Heather,Rachel,Becka,Jo
A,Chappalet,$35 ,White,N/A,N/A,N/A,$25 ,N/A,$9 ,N/A,N/A,$28 ,N/A,N/A
B,Crimson Ranch,$14 ,White,N/A,N/A,N/A,$3 ,N/A,$25 ,N/A,N/A,$20 ,N/A,N/A
C,Levendi,$40 ,White,N/A,N/A,N/A,$10 ,N/A,$20 ,N/A,N/A,$30 ,N/A,N/A
D,Atrevida,$10 ,White,N/A,N/A,N/A,$17 ,N/A,$18 ,N/A,N/A,$55 ,N/A,N/A
E,Ceja,$45 ,White,N/A,N/A,N/A,$13 ,N/A,$40 ,N/A,N/A,$8 ,N/A,N/A
F,Santa Barbara Co,$25 ,White,N/A,N/A,N/A,$40 ,N/A,$15 ,N/A,N/A,$12 ,N/A,N/A
A,Vistamar Sepia Reserva,$12 ,Red,N/A,N/A,N/A,N/A,N/A,$11 ,N/A,N/A,$35 ,N/A,N/A
B,Stevensxy,$50 ,Red,N/A,N/A,N/A,$50 ,N/A,$30 ,N/A,N/A,$45 ,N/A,N/A
C,Sheridan Vineyard,$30 ,Red,N/A,N/A,N/A,N/A,N/A,$15 ,N/A,N/A,$22 ,N/A,N/A
D,Oak Ridge Lodi,$15 ,Red,N/A,N/A,N/A,N/A,N/A,$40 ,N/A,N/A,$8 ,N/A,N/A
E,Apex Cellars,$40 ,Red,N/A,N/A,N/A,N/A,N/A,$20 ,N/A,N/A,$20 ,N/A,N/A
F,Avenel Cellars,$24 ,Red,N/A,N/A,N/A,$35 ,N/A,$16 ,N/A,N/A,$16 ,N/A,N/A
