Wine,Color,Roberto,Matt,Elaine,Jenna,Miranda,Ethan,Jon,Heather,Rachel,Becka,Jo,Averages
A,White,4.5,2,4,4,3,2,5,3,4,3,3.5,3.454545455
B,White,1.5,3,1.5,0,4,3,2,2,4,4,4.5,2.681818182
C,White,2.5,3,2,1.5,2.5,3.5,1,2,3,2,3.75,2.431818182
D,White,1,4,2.5,3.5,3,3,4,4,4,3,2,3.090909091
E,White,1.5,1,0.5,3,2,4,1,0,1,3,4.25,1.931818182
F,White,2.5,2,3.5,4.5,3.5,3,0,5,2,2,2,2.727272727
A,Red,1,1,1,2,5,2,3,5,3,3,3.5,2.681818182
B,Red,4,5,4,4.5,4,4,2,3,4,3.5,4,3.818181818
C,Red,1,1,2,1,3,2.5,1,4,3,2,3,2.136363636
D,Red,4,3.5,4.5,2.5,5,4.5,2,5,3,3,4.5,3.772727273
E,Red,3,2,0.5,3.5,2,3,1,1,2,3.5,2.5,2.181818182
F,Red,2.5,3,3,4,4.5,3,0,2,2,3,2,2.636363636
