Cookie,cookie_descrip,Anderson,Chris,Dzhuliya,Elaine,Emily,Heather,Jessica,Jo,Jon,Keira,Matt B.,Rachel,Roberto
A,All brown sugar,2,3,3,3,2,3,3,2,3,3,3,3,2
B,"1 egg, 1c. milk and a lot of extra flour",1,1,1,1,1,1,1,1,1,1,1,1,1
C,Store-bought Tollhouse Dough,3,1,2,2,2,2,2,2,2,2,1,2,1
D,Alton Brown,3,2,3,3,3,3,3,1,3,2,2,3,1
E,Walnuts,1,1,1,1,2,1,1,1,1,1,1,1,2
F,Cake flour and baking powder; no baking soda,2,1,1,2,1,1,1,2,1,1,2,1,2
G,All white sugar,2,1,2,2,2,1,1,1,3,2,2,2,2
H,Salted Butter,3,2,2,3,2,3,2,1,3,2,3,2,1
I,All shortening,2,2,1,2,2,1,1,1,2,2,1,2,3
J,Chilled Dough,2,2,1,2,2,1,1,1,1,2,1,2,1
K,Mini chocolate chips,2,2,1,2,2,1,1,1,1,2,1,3,3
L,Cocoa Powder,2,2,1,1,1,2,2,2,1,2,3,1,3
M,Betty Crocker,1,2,2,2,3,1,1,2,1,2,2,2,2
N,Chunks,1,1,1,2,2,1,2,1,1,2,1,1,2
O,Extra flour,1,1,1,2,2,1,1,2,2,1,1,1,3
P,Classic Tollhouse,2,1,1,2,2,1,1,1,2,1,1,2,3
Q,Half shortening. half butter,2,2,2,3,3,3,2,2,2,2,2,3,3
R,Melted Butter,2,2,2,2,3,2,2,2,2,2,3,2,2
