Cookie,Anderson,Chris,Dzhuliya,Elaine,Emily,Heather,Jessica,Jo,Jon,Keira,Matt B.,Rachel,Roberto
A,4,3,3,3,3,3,3,3,3,3,3,3,4
B,4,4,4,4,4,4,4,4,4,4,4,4,4
C,3,3,3,2,3,3,3,2,3,3,3,3,4
D,4,3,3,3,4,4,4,3,4,3,4,3,4
E,3,2,3,1,2,2,2,2,3,3,3,3,3
F,4,3,4,3,3,4,3,4,4,3,4,3,3
G,1,2,1,2,1,1,1,1,1,1,1,1,2
H,3,3,3,3,4,3,3,4,3,3,3,4,3
I,2,2,2,4,2,2,2,2,2,1,2,4,2
J,4,3,3,2,3,3,3,2,2,2,4,4,4
K,2,3,3,1,2,2,1,1,2,3,3,3,2
L,1,3,2,2,2,2,2,1,2,2,2,4,2
M,1,1,2,1,1,1,1,1,1,1,1,2,1
N,4,3,3,3,4,3,3,4,3,2,3,4,4
O,3,3,3,2,2,2,3,2,4,3,3,3,3
P,2,2,2,1,2,2,2,1,1,1,2,2,1
Q,1,2,2,2,2,1,1,1,2,1,1,2,3
R,3,3,3,3,3,3,3,3,3,3,3,3,3
