Cookie,cookie_descrip,Anderson,Chris,Dzhuliya,Elaine,Emily,Heather,Jessica,Jo,Jon,Keira,Matt B.,Rachel,Roberto
A,All brown sugar,2,2,2,2,2,3,2,2,2,2,2,3,2
B,"1 egg, 1c. milk & extra flour",1,1,2,1,1,2,1,1,1,1,1,1,1
C,Store-bought Tollhouse Dough,2,2,2,2,2,2,2,2,2,2,2,2,2
D,Alton Brown,2,2,2,2,2,2,1,1,2,2,3,3,2
E,Walnuts,1,2,2,1,2,1,2,2,3,1,1,2,2
F,Cake flour & b. powder; no b. soda,2,2,2,2,2,2,3,2,3,2,2,3,2
G,All white sugar,2,2,2,1,2,2,2,2,2,2,2,1,2
H,Salted Butter,2,2,2,2,2,2,2,2,2,3,2,3,3
I,All shortening,2,1,2,2,2,2,2,2,2,1,2,2,1
J,Chilled Dough,2,2,2,2,2,2,2,2,3,2,2,3,2
K,Mini chocolate chips,2,1,2,2,1,1,1,2,2,1,1,1,2
L,Cocoa Powder,1,2,3,2,2,2,2,1,1,1,1,1,1
M,Betty Crocker,2,2,2,2,2,2,0,2,1,1,1,2,2
N,Chunks,1,2,3,3,1,1,1,3,3,2,3,3,2
O,Extra flour,2,2,2,2,2,2,2,2,3,2,2,2,2
P,Classic Tollhouse,2,1,2,1,2,2,2,2,1,2,2,1,2
Q,1/2 shortening 1/2 butter,2,1,2,1,2,1,1,2,2,1,1,2,2
R,Melted Butter,2,1,2,2,2,2,1,3,2,3,3,2,2
