Cookie,Anderson,Chris,Dzhuliya,Elaine,Emily,Heather,Jessica,Jo,Jon,Keira,Matt B.,Rachel,Roberto
A,2,3,3,3,3,3,3,1,2,3,3,3,3
B,1,2,1,1,2,1,2,1,2,1,3,1,2
C,3,2,3,1,3,2,3,1,2,2,3,3,2
D,2,2,3,2,3,2,2,1,2,3,3,3,2
E,1,1,2,1,2,1,1,1,2,2,2,2,1
F,1,1,2,2,1,2,2,1,1,2,1,2,2
G,1,1,1,1,1,1,1,1,1,1,1,1,1
H,2,1,2,3,3,3,3,1,2,2,2,3,2
I,2,1,1,1,1,1,1,1,1,1,1,2,1
J,1,1,2,2,3,2,1,2,2,2,3,2,1
K,1,1,1,1,2,1,1,1,1,2,2,2,1
L,1,1,1,1,1,1,1,1,1,1,1,1,2
M,1,1,1,1,1,1,1,1,1,1,1,1,1
N,1,2,2,3,2,2,3,1,3,1,3,3,2
O,2,2,1,2,3,2,1,1,2,2,2,2,2
P,1,1,1,1,2,1,1,1,1,1,1,1,1
Q,1,1,1,1,2,1,1,1,1,1,1,1,1
R,3,2,2,3,3,3,2,1,3,3,2,3,2
