Cookie,cookie_descrip,Anderson,Chris,Dzhuliya,Elaine,Emily,Heather,Jessica,Jo,Jon,Keira,Matt B.,Rachel,Roberto
A,All brown sugar,8,8,14,16,11,14,7,17,1,8,5,7,17
B,"1 egg, 1c. milk and a lot of extra flour",6,2,11,11,8,2,16,6,15,2,14,13,5
C,Store-bought Tollhouse Dough,2,6,6,14,6,17,14,12,8,10,7,4,12
D,Alton Brown,13,16,3,15,10,15,3,2,12,7,8,2,7
E,Walnuts,9,15,10,3,9,12,2,10,10,15,2,14,13
F,Cake flour and baking powder; no baking soda,16,18,13,13,12,9,5,4,16,5,12,15,1
G,All white sugar,11,1,17,8,3,11,8,11,4,13,1,3,2
H,Salted Butter,5,14,2,7,17,7,9,16,13,17,13,9,9
I,All shortening,18,7,1,18,4,4,1,8,2,3,15,5,15
J,Chilled Dough,10,9,12,2,5,6,10,9,14,4,4,6,18
K,Mini chocolate chips,15,12,8,12,16,18,13,3,6,14,3,8,8
L,Cocoa Powder,12,13,15,1,1,16,18,13,3,6,18,12,11
M,Betty Crocker,4,11,9,9,14,5,11,14,9,11,10,18,4
N,Chunks,3,4,5,10,13,8,12,18,11,1,11,10,14
O,Extra flour,17,17,7,6,2,3,15,1,7,18,9,11,3
P,Classic Tollhouse,1,3,4,4,15,1,6,15,18,16,16,1,16
Q,Half shortening. half butter,7,5,18,17,18,10,17,7,5,9,6,17,6
R,Melted Butter,14,10,16,5,7,13,4,5,17,12,17,16,10
