Cookie,cookie_descrip,Anderson,Chris,Dzhuliya,Elaine,Emily,Heather,Jessica,Jo,Jon,Keira,Matt B.,Rachel,Roberto
A,All brown sugar,2,4,4,4,3,4,5,2,2,3,3,5,4
B,"1 egg, 1c. milk & extra flour",0,3,1,1,3,3,3,0,0,1,1,1,1
C,Store-bought Tollhouse Dough,5,4,4,3,5,4,4,1,4,4,3,5,3
D,Alton Brown,3,4,4,1,2,3,4,1,1,3,3,4,4
E,Walnuts,2,1,3,1,4,1,3,1,3,0,3,3,1
F,Cake flour & b. powder; no b. soda,1,2,3,2,3,3,0,0,1,3,3,2,3
G,All white sugar,1,3,2,2,4,0,3,0,4,0,2,3,3
H,Salted Butter,3,3,4,2,3,5,4,1,2,3,4,4,4
I,All shortening,4,3,3,3,3,3,1,1,0,0,2,2,3
J,Chilled Dough,3,3,4,2,5,2,2,3,0,4,4,3,3
K,Mini chocolate chips,3,2,2,3,4,1,2,1,2,2,3,2,3
L,Cocoa Powder,3,2,2,3,4,2,2,0,2,3,3,3,3
M,Betty Crocker,1,1,2,1,3,1,0,0,0,0,0,4,2
N,Chunks,2,3,3,3,4,2,4,1,4,4,2,3,3
O,Extra flour,3,4,3,4,4,4,0,3,3,2,2,4,4
P,Classic Tollhouse,3,2,3,3,3,2,2,0,1,1,2,2,3
Q,1/2 shortening 1/2 butter,2,2,2,2,3,1,0,0,1,1,1,4,2
R,Melted Butter,5,4,3,5,4,4,3,2,5,4,2,3,3
