,guesser,truth,guess,correct
0,Dave,orange,yellow,False
1,Dave,red,red,True
2,Dave,yellow,yellow,True
3,Dave,white,white,True
4,Dave,green,orange,False
5,Dave,red,red,True
6,Dave,white,white,True
7,Dave,orange,orange,True
8,Dave,yellow,yellow,True
9,Dave,green,green,True
10,Dave,white,white,True
11,Dave,red,red,True
12,Dave,orange,yellow,False
13,Dave,green,red,False
14,Dave,yellow,yellow,True
15,Megan,orange,orange,True
16,Megan,green,green,True
17,Megan,yellow,white,False
18,Megan,green,yellow,False
19,Megan,yellow,green,False
20,Megan,orange,red,False
21,Megan,red,white,False
22,Megan,orange,red,False
23,Megan,yellow,white,False
24,Megan,orange,red,False
25,Megan,white,white,True
26,Megan,red,white,False
27,Megan,red,green,False
28,Megan,white,white,True
29,Megan,white,white,True
30,Jeff,red,white,False
31,Jeff,white,yellow,False
32,Jeff,red,white,False
33,Jeff,yellow,yellow,True
34,Jeff,yellow,green,False
35,Jeff,white,white,True
36,Jeff,green,red,False
37,Jeff,yellow,green,False
38,Jeff,white,red,False
39,Jeff,green,green,True
40,Jeff,yellow,green,False
41,Jeff,red,green,False
42,Jeff,red,red,True
43,Jeff,white,red,False
44,Jeff,green,yellow,False
