,guesser,truth,guess,correct
0,Rachel,yellow,orange,False
1,Rachel,green,green,True
2,Rachel,green,purple,False
3,Rachel,orange,yellow,False
4,Rachel,red,orange,False
5,Rachel,orange,purple,False
6,Rachel,yellow,green,False
7,Rachel,green,red,False
8,Rachel,yellow,orange,False
9,Rachel,green,red,False
10,Rachel,red,yellow,False
11,Rachel,red,yellow,False
12,Rachel,green,orange,False
13,Rachel,green,orange,False
14,Rachel,green,green,True
15,Roberto,yellow,purple,False
16,Roberto,green,green,True
17,Roberto,yellow,red,False
18,Roberto,yellow,red,False
19,Roberto,purple,yellow,False
20,Roberto,red,orange,False
21,Roberto,red,yellow,False
22,Roberto,red,red,True
23,Roberto,orange,red,False
24,Roberto,green,green,True
25,Roberto,orange,orange,True
26,Roberto,purple,purple,True
27,Roberto,orange,red,False
28,Roberto,red,red,True
29,Roberto,green,green,True
30,Jo,green,purple,False
31,Jo,yellow,yellow,True
32,Jo,purple,green,False
33,Jo,green,green,True
34,Jo,yellow,orange,False
35,Jo,yellow,orange,False
36,Jo,orange,purple,False
37,Jo,purple,yellow,False
38,Jo,orange,orange,True
39,Jo,purple,red,False
40,Jo,orange,green,False
41,Jo,purple,red,False
42,Jo,green,green,True
43,Jo,orange,orange,True
44,Jo,orange,purple,False
45,Heather,green,green,True
46,Heather,purple,red,False
47,Heather,red,orange,False
48,Heather,orange,purple,False
49,Heather,yellow,yellow,True
50,Heather,green,red,False
51,Heather,red,purple,False
52,Heather,red,orange,False
53,Heather,yellow,yellow,True
54,Heather,green,green,True
55,Heather,purple,purple,True
56,Heather,purple,purple,True
57,Heather,yellow,yellow,True
58,Heather,orange,orange,True
59,Heather,orange,red,False
60,Tyler,red,red,True
61,Tyler,purple,purple,True
62,Tyler,red,red,True
63,Tyler,red,red,True
64,Tyler,purple,purple,True
65,Tyler,green,green,True
66,Tyler,purple,yellow,False
67,Tyler,yellow,yellow,True
68,Tyler,purple,purple,True
69,Tyler,purple,purple,True
70,Tyler,orange,orange,True
71,Tyler,green,green,True
72,Tyler,green,green,True
73,Tyler,yellow,yellow,True
74,Tyler,yellow,yellow,True
75,Jenna,orange,orange,True
76,Jenna,green,green,True
77,Jenna,orange,red,False
78,Jenna,yellow,yellow,True
79,Jenna,red,purple,False
80,Jenna,red,purple,False
81,Jenna,orange,orange,True
82,Jenna,yellow,yellow,True
83,Jenna,yellow,yellow,True
84,Jenna,yellow,orange,False
85,Jenna,yellow,red,False
86,Jenna,red,purple,False
87,Jenna,red,purple,False
88,Jenna,green,orange,False
89,Jenna,green,green,True
90,MattB,purple,red,False
91,MattB,yellow,orange,False
92,MattB,orange,red,False
93,MattB,green,purple,False
94,MattB,yellow,yellow,True
95,MattB,yellow,green,False
96,MattB,orange,red,False
97,MattB,orange,red,False
98,MattB,yellow,purple,False
99,MattB,purple,orange,False
100,MattB,green,green,True
101,MattB,purple,purple,True
102,MattB,yellow,yellow,True
103,MattB,red,red,True
104,MattB,green,purple,False
105,Keira,orange,green,False
106,Keira,yellow,yellow,True
107,Keira,purple,purple,True
108,Keira,yellow,red,False
109,Keira,yellow,red,False
110,Keira,red,yellow,False
111,Keira,red,red,True
112,Keira,red,red,True
113,Keira,green,green,True
114,Keira,red,orange,False
115,Keira,purple,green,False
116,Keira,purple,orange,False
117,Keira,yellow,orange,False
118,Keira,green,green,True
119,Keira,green,red,False
120,Elaine,yellow,orange,False
121,Elaine,red,purple,False
122,Elaine,orange,orange,True
123,Elaine,yellow,green,False
124,Elaine,green,yellow,False
125,Elaine,green,purple,False
126,Elaine,orange,orange,True
127,Elaine,orange,red,False
128,Elaine,purple,purple,True
129,Elaine,yellow,green,False
130,Elaine,orange,orange,True
131,Elaine,orange,red,False
132,Elaine,red,purple,False
133,Elaine,green,yellow,False
134,Elaine,purple,purple,True
135,Chris,orange,orange,True
136,Chris,purple,green,False
137,Chris,purple,purple,True
138,Chris,yellow,yellow,True
139,Chris,yellow,yellow,True
140,Chris,red,red,True
141,Chris,green,green,True
142,Chris,yellow,yellow,True
143,Chris,purple,purple,True
144,Chris,green,green,True
145,Chris,green,red,False
146,Chris,green,red,False
147,Chris,red,yellow,False
148,Chris,orange,orange,True
149,Chris,purple,red,False
150,Dave,orange,yellow,False
151,Dave,orange,purple,False
152,Dave,green,red,False
153,Dave,purple,orange,False
154,Dave,red,red,True
155,Dave,yellow,yellow,True
156,Dave,purple,purple,True
157,Dave,green,green,True
158,Dave,red,red,True
159,Dave,orange,yellow,False
160,Dave,yellow,yellow,True
161,Dave,green,red,False
162,Dave,orange,green,False
163,Dave,red,red,True
164,Dave,yellow,yellow,True
165,Megan,purple,purple,True
166,Megan,green,green,True
167,Megan,orange,red,False
168,Megan,orange,orange,True
169,Megan,red,red,True
170,Megan,yellow,green,False
171,Megan,red,yellow,False
172,Megan,yellow,green,False
173,Megan,red,purple,False
174,Megan,purple,purple,True
175,Megan,green,orange,False
176,Megan,orange,yellow,False
177,Megan,green,orange,False
178,Megan,orange,green,False
179,Megan,purple,purple,True
