,guesser,truth,guess,correct
0,Tyler,blue,blue,True
1,Tyler,yellow,yellow,True
2,Tyler,red,red,True
3,Tyler,orange,orange,True
4,Tyler,red,blue,False
5,Tyler,green,green,True
6,Tyler,red,red,True
7,Tyler,red,blue,False
8,Tyler,yellow,yellow,True
9,Tyler,green,green,True
10,Tyler,orange,orange,True
11,Tyler,green,red,False
12,Tyler,blue,blue,True
13,Tyler,blue,red,False
14,Tyler,green,yellow,False
15,Jenna,green,green,True
16,Jenna,green,orange,False
17,Jenna,yellow,green,False
18,Jenna,blue,blue,True
19,Jenna,yellow,yellow,True
20,Jenna,blue,blue,True
21,Jenna,orange,orange,True
22,Jenna,green,green,True
23,Jenna,orange,orange,True
24,Jenna,blue,blue,True
25,Jenna,orange,orange,True
26,Jenna,orange,orange,True
27,Jenna,blue,blue,True
28,Jenna,red,green,False
29,Jenna,blue,red,False
30,Keira,red,yellow,False
31,Keira,green,green,True
32,Keira,yellow,blue,False
33,Keira,yellow,red,False
34,Keira,orange,orange,True
35,Keira,blue,red,False
36,Keira,green,green,True
37,Keira,orange,yellow,False
38,Keira,yellow,blue,False
39,Keira,green,green,True
40,Keira,blue,red,False
41,Keira,red,red,True
42,Keira,red,yellow,False
43,Keira,blue,red,False
44,Keira,green,green,True
