,guesser,truth,guess,correct
0,Rachel,pink,pink,True
1,Rachel,red,red,True
2,Rachel,red,orange,False
3,Rachel,orange,orange,True
4,Rachel,pink,pink,True
5,Rachel,red,red,True
6,Rachel,yellow,yellow,True
7,Rachel,orange,yellow,False
8,Rachel,orange,orange,True
9,Rachel,yellow,yellow,True
10,Rachel,pink,pink,True
11,Rachel,orange,orange,True
12,Rachel,pink,pink,True
13,Rachel,red,red,True
14,Rachel,yellow,orange,False
15,Roberto,yellow,orange,False
16,Roberto,red,red,True
17,Roberto,pink,pink,True
18,Roberto,orange,orange,True
19,Roberto,red,red,True
20,Roberto,red,pink,False
21,Roberto,red,pink,False
22,Roberto,orange,orange,True
23,Roberto,yellow,yellow,True
24,Roberto,orange,orange,True
25,Roberto,yellow,yellow,True
26,Roberto,pink,pink,True
27,Roberto,pink,yellow,False
28,Roberto,yellow,yellow,True
29,Roberto,orange,pink,False
30,Heather,orange,orange,True
31,Heather,pink,red,False
32,Heather,pink,pink,True
33,Heather,yellow,yellow,True
34,Heather,pink,pink,True
35,Heather,red,red,True
36,Heather,pink,pink,True
37,Heather,yellow,yellow,True
38,Heather,orange,orange,True
39,Heather,orange,orange,True
40,Heather,yellow,yellow,True
41,Heather,orange,orange,True
42,Heather,red,red,True
43,Heather,red,red,True
44,Heather,red,orange,False
45,Heather,yellow,yellow,True
46,MattB,yellow,pink,False
47,MattB,red,red,True
48,MattB,pink,red,False
49,MattB,orange,orange,True
50,MattB,red,yellow,False
51,MattB,red,red,True
52,MattB,yellow,yellow,True
53,MattB,yellow,pink,False
54,MattB,orange,red,False
55,MattB,yellow,yellow,True
56,MattB,orange,pink,False
57,MattB,red,red,True
58,MattB,pink,orange,False
59,MattB,yellow,red,False
60,MattB,red,pink,False
61,Keira,red,pink,False
62,Keira,orange,orange,True
63,Keira,yellow,yellow,True
64,Keira,orange,red,False
65,Keira,yellow,red,False
66,Keira,red,pink,False
67,Keira,orange,orange,True
68,Keira,pink,pink,True
69,Keira,pink,red,False
70,Keira,yellow,yellow,True
71,Keira,yellow,red,False
72,Keira,pink,pink,True
73,Keira,yellow,red,False
74,Keira,red,red,True
75,Keira,orange,orange,True
76,Elaine,red,pink,False
77,Elaine,orange,orange,True
78,Elaine,red,red,True
79,Elaine,pink,pink,True
80,Elaine,red,red,True
81,Elaine,orange,orange,True
82,Elaine,yellow,yellow,True
83,Elaine,pink,pink,True
84,Elaine,pink,red,False
85,Elaine,pink,red,False
86,Elaine,pink,pink,True
87,Elaine,orange,orange,True
88,Elaine,orange,orange,True
89,Elaine,red,yellow,False
90,Elaine,orange,yellow,False
91,Chris,orange,yellow,False
92,Chris,pink,pink,True
93,Chris,yellow,yellow,True
94,Chris,red,red,True
95,Chris,red,yellow,False
96,Chris,pink,pink,True
97,Chris,pink,pink,True
98,Chris,yellow,yellow,True
99,Chris,orange,yellow,False
100,Chris,red,red,True
101,Chris,yellow,pink,False
102,Chris,yellow,yellow,True
103,Chris,pink,orange,False
104,Chris,yellow,pink,False
105,Chris,orange,yellow,False
106,Jeff,red,pink,False
107,Jeff,red,yellow,False
108,Jeff,yellow,orange,False
109,Jeff,pink,orange,False
110,Jeff,pink,orange,False
111,Jeff,orange,red,False
112,Jeff,orange,orange,True
113,Jeff,orange,pink,False
114,Jeff,red,yellow,False
115,Jeff,yellow,orange,False
116,Jeff,orange,yellow,False
117,Jeff,yellow,pink,False
118,Jeff,red,orange,False
119,Jeff,pink,red,False
120,Jeff,pink,red,False
