,Beer Letter,Ali,Alec,Cara,Claire,Dave,Elaine,Emily,Heather,Jenna,Jo,Joe,Jon,Jules,Matt D,Miranda,Rachel,Roberto,Tyler
,,A,P,P,C,I,P,I,H,D,J,M,D,C,C,B,G,D,J
,,F,D,F,M,H,O,Q,L,I,B,E,H,M,F,K,N,J,C
,,E,I,N,P,J,B,H,B,L,Q,O,O,I,O,D,I,O,L
,,H,G,M,L,C,Q,P,E,F,H,I,I,O,D,C,F,F,K
,,L,H,O,K,B,M,B,P,J,M,D,A,K,M,L,D,K,O
,,J,M,D,O,F,N,D,C,G,G,A,K,D,Q,N,P,Q,B
,,N,B,K,A,L,H,L,A,E,A,Q,L,P,E,H,A,I,Q
,,B,C,B,H,M,A,M,M,A,D,P,E,B,L,A,E,M,N
,,M,A,G,F,G,E,K,O,O,F,N,P,J,P,G,O,L,A
,,D,F,Q,J,E,J,G,J,C,C,H,C,A,B,O,B,E,R
,,P,J,E,B,K,G,A,K,N,I,K,N,E,A,J,C,B,P
,,C,E,H,Q,A,L,J,F,Q,N,J,G,G,N,Q,J,P,G
,,G,K,L,N,D,I,C,I,M,K,G,M,H,J,I,Q,N,F
,,Q,L,C,G,P,F,O,Q,H,O,F,Q,F,G,F,M,A,D
,,O,N,J,I,Q,D,E,N,K,E,B,B,Q,I,E,K,H,M
,,I,O,A,D,O,C,N,G,P,L,C,J,L,K,P,L,G,H
,,K,Q,I,E,N,K,F,D,B,P,L,F,N,H,M,H,C,I
,,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,E
